제목,링크
"대한전선, HVDC 해저케이블 공장 건설에 4천972억 투자",https://n.news.naver.com/mnews/article/001/0015510421
"""방시혁 비밀 계약 막는다""…거래소, 상장심사 절차 강화",https://n.news.naver.com/mnews/article/011/0004509745
"인투셀 박태교 대표, 기술이전 해지에 10억원 규모 자사주 매입",https://n.news.naver.com/mnews/article/011/0004509744
"넥써쓰, AI 기반 게임 제작 서비스 ‘버스8’와 독점 파트너십 체결",https://n.news.naver.com/mnews/article/009/0005525762
美 크립토위크 '삐걱'…코인시장은 '덤덤',https://n.news.naver.com/mnews/article/648/0000037930
"""전산장애 더이상 없다""…코스콤, IT 시스템 대대적 점검",https://n.news.naver.com/mnews/article/215/0001216451
글로벌 금융시장 움직이는 ‘KFS 키즈’ 맹활약 ··· 유태인 뺨치는 네트워크로 급성장,https://n.news.naver.com/mnews/article/009/0005525753
"스코넥, 신작 VR 호러 어드벤처 'Who's at the Door' 18일 스팀 출시",https://n.news.naver.com/mnews/article/277/0005623361
"[특징주] 조선주, 증권사 호평 속 강세…HD현대미포 5%대 상승",https://n.news.naver.com/mnews/article/001/0015510355
"[올댓차이나] 홍콩 증시, 엔비디아 AI칩 공급에 닷새째 상승 출발…H주 0.66%↑",https://n.news.naver.com/mnews/article/003/0013365685
"코스피, 낙폭 줄이며 3,200선 재돌파 시도…코스닥 810대(종합)",https://n.news.naver.com/mnews/article/001/0015510308
"정부 정책에 급등하더니 ""오늘 다 파란불""…OO주에 무슨일이",https://n.news.naver.com/mnews/article/008/0005222401
엔비디아 이어 AMD도 中반도체 수출 재개…주가 6%↑,https://n.news.naver.com/mnews/article/277/0005623355
"동아쏘시오홀딩스, 주당 700원 분기배당 결정",https://n.news.naver.com/mnews/article/003/0013365663
"대한전선, 4972억 규모 신규 시설투자 결정",https://n.news.naver.com/mnews/article/003/0013365659
"비스토스, 아시아 최대 유아용품 전시회 참가...중국 시장 공략 '속도'",https://n.news.naver.com/mnews/article/008/0005222397
"동아쏘시오홀딩스, 주당 700원 현금배당 결정",https://n.news.naver.com/mnews/article/016/0002500463
"NH투자증권-쿼타랩, 주식보상 실무전략 세미나 개최",https://n.news.naver.com/mnews/article/366/0001092948
"아시아금융그룹, 고강도 사업 재편 결실…코스닥 상장사 2곳 '환골탈태'",https://n.news.naver.com/mnews/article/008/0005222395
"큐브엔터 신인 ‘나우즈’, 미니 1집 ‘IGNITION’ 초동 15만장 돌파…전작 대비 2배",https://n.news.naver.com/mnews/article/009/0005525717
美 ‘가상자산 3법’ 하원서 일단 제동,https://n.news.naver.com/mnews/article/016/0002500451
거버넌스포럼 “롯데렌탈-어피니티 자본거래는 심각한 이해충돌”,https://n.news.naver.com/mnews/article/018/0006066914
CPI發 금리 인하 기대 후퇴…천장 뚫은 코스피 흔들?,https://n.news.naver.com/mnews/article/629/0000407812
"카카오페이증권, 월간 거래고객 100만명 돌파",https://n.news.naver.com/mnews/article/366/0001092945
올 상반기 단기사채 자금조달 규모 520조…전년 比 30%↑,https://n.news.naver.com/mnews/article/421/0008372967
"KCGI운용, '채권운용' 본부로 격상....홍사욱 前미래에셋 본부장 영입",https://n.news.naver.com/mnews/article/014/0005377786
"쿠콘, 써클·테더와 스테이블코인 전략적 협업 논의 中…상장사 최초 기대감 ‘솔솔’",https://n.news.naver.com/mnews/article/014/0005377784
"코스피, 장중 3200선 탈환 시도…원·달러 환율 1387원대",https://n.news.naver.com/mnews/article/015/0005158563
"카카오페이증권, 6월 거래자 수 100만명 돌파…1년 만에 2배 증가",https://n.news.naver.com/mnews/article/119/0002979791
"한국투자증권, ELW 579종목 신규 상장",https://n.news.naver.com/mnews/article/016/0002500412
